,id,title,release_date,vote_average,vote_count
0,679748,Agent Love,2021-01-31,0.0,0
1,685411,Marvelous and the Black Hole,2021-01-31,5.8,5
2,785352,Captains of Za'atari,2021-01-31,6.5,2
3,863967,Bum Bro,2021-01-31,0.0,0
4,859128,Prem Tantra,2021-01-31,0.0,0
5,776501,We're All Going to the World's Fair,2021-01-31,6.3,8
6,776538,Fire in the Mountains,2021-01-31,0.0,0
7,776556,Taming the Garden,2021-01-31,5.3,3
8,777339,The End of Comedy,2021-01-31,0.0,0
9,783309,Clothesline,2021-01-31,0.0,0
10,756294,Untitled Michael Bennett Project,2021-01-31,0.0,0
11,791153,Semblance,2021-01-31,0.0,0
12,793052,28 jours ensemble,2021-01-31,0.0,0
13,783459,Neighbours,2021-01-31,0.0,0
14,803738,Pigeon Therapy,2021-01-31,0.0,0
15,792254,The Things Where They No Longer Were,2021-01-31,0.0,0
16,811377,WWE Icons: Yokozuna,2021-01-31,0.0,0
17,791915,Frühling - Mit Regenschirmen fliegen,2021-01-31,0.0,0
18,793133,My Fairy Girl,2021-01-31,0.0,0
19,792347,Ковбои здесь тихие - Уральские Пельмени,2021-01-31,0.0,0
20,829304,04,2021-01-31,0.0,0
21,776620,The War of Images,2021-01-31,0.0,0
22,797501,Thunder Chase,2021-01-31,0.0,0
23,830174,Who Was It: The Conclusion(Part 2),2021-01-31,0.0,0
24,823824,Before We Collide,2021-01-31,7.0,1
25,824291,Whitney Houston: As I Am,2021-01-31,0.0,0
26,824292,Alfie Brown: Imagination,2021-01-31,0.0,0
27,820223,Sniper,2021-01-31,0.0,0
28,853009,Suggestions and Other Silences,2021-01-31,0.0,0
29,849050,Gosia@Tomek,2021-01-31,0.0,0
30,874184,Z47,2021-01-31,0.0,0
31,792497,Ella Fitzgerald à l'Olympia,2021-01-31,0.0,0
32,792864,The Cloister,2021-01-31,0.0,0
33,777255,Centuries of Boredom,2021-01-31,0.0,0
34,785619,The Best Thing About Corona,2021-01-31,0.0,0
35,785620,Punani Steam,2021-01-31,0.0,0
36,785625,The Expected,2021-01-31,6.0,1
37,785626,You’re Always 20,2021-01-31,0.0,0
38,785627,The Hearing,2021-01-31,0.0,0
39,785630,Not Until Now,2021-01-31,0.0,0
40,785631,A Long Protracted Scene of an Accident,2021-01-31,0.0,0
41,777255,Centuries of Boredom,2021-01-31,0.0,0
42,802475,Little Wolf: The Night Trail,2021-01-31,6.0,1
43,879638,Meurtres en Berry,2021-01-31,0.0,0
44,913692,Cora,2021-01-31,0.0,0
45,883660,Treading Tides,2021-01-31,10.0,1
46,784195,Wendy Williams: What a Mess!,2021-01-30,0.0,0
47,713377,R#J,2021-01-30,5.2,10
48,745078,Prime Time,2021-01-30,5.0,61
49,751998,It'll Be Over Soon,2021-01-30,0.0,0
50,842318,Chimichanga Day,2021-01-30,0.0,0
51,840692,The Turn of the Screw - OperaGlass Works,2021-01-30,0.0,0
52,847320,The Drag Manifesto,2021-01-30,0.0,0
